Portfolio,CAGR,Sharpe,Sortino,MaxDD,Volatility,Days
BL_LSTM,0.35590543404968167,0.0853774521853118,0.1277149949189949,-0.18171833184414599,0.015558301797013131,178
EW,0.27016490041627717,0.06516939203959153,0.09109524409737156,-0.2312152785249355,0.016654601805153196,178
Sent,0.7193158816176111,0.1313654484733006,0.19594736738525606,-0.20001967997088754,0.01752158344058651,178
MV,0.293387311687034,0.06591686581697957,0.088123667227108,-0.2546915686925241,0.017879586329814744,178
SPY,0.15627792354250003,0.04909147935238846,0.06272250896549587,-0.19216020546032297,0.013586193241785883,178
