,MSE_test,Sharpe,Sortino,CAGR,MaxDD,Days
LSTM,0.0005616788985207677,1.4483957694225649,2.0520486650278764,0.32355025673405824,-0.19845438911924707,189
RNN,0.0006109240930527449,1.1579778686197926,1.6548228047336428,0.21984436906388005,-0.2227268080664646,189
GRU,0.000589900417253375,0.34466901025788704,0.45012594855123556,0.03996241240045095,-0.1788839418218503,189
