date,ticker,adj_close,volume,sentiment_mean
2023-01-03,AAPL,123.33065032958984,112117500,-0.3362275211358489
2023-01-04,AAPL,124.60271453857422,89113600,-0.45143858631715
2023-01-05,AAPL,123.28134155273438,80962700,0.14058749413311591
2023-01-06,AAPL,127.81736755371094,87754700,-0.16346602537438457
2023-01-09,AAPL,128.33999633789062,70790800,0.25081955460263666
2023-01-10,AAPL,128.91192626953125,63896200,0.5484634718437862
2023-01-11,AAPL,131.63356018066406,69458900,0.037454839111433096
2023-01-12,AAPL,131.55465698242188,71379600,0.1383464620622615
2023-01-13,AAPL,132.88587951660156,57809700,0.011916167949221663
2023-01-17,AAPL,134.04946899414062,63646600,0.12379239177461798
2023-01-18,AAPL,133.32965087890625,69672800,0.058722116898655724
2023-01-19,AAPL,133.38880920410156,58280400,0.26107358711443496
2023-01-20,AAPL,135.95262145996094,80223600,0.07157286083217128
2023-01-23,AAPL,139.1475830078125,81760300,0.35211077728363166
2023-01-24,AAPL,140.54782104492188,66435100,0.3749870080604547
2023-01-25,AAPL,139.88714599609375,65799300,0.25007332392081105
2023-01-26,AAPL,141.95794677734375,54105100,0.36004172077791813
2023-01-27,AAPL,143.90052795410156,70555800,0.31803535654540027
2023-01-30,AAPL,141.0112762451172,64015300,-0.1835027606272433
2023-01-31,AAPL,142.28335571289062,65874500,-0.007164568876033981
2023-02-01,AAPL,143.40748596191406,77663600,0.15602425026685296
2023-02-02,AAPL,148.7225341796875,118339000,-0.13447472076590625
2023-02-03,AAPL,152.35134887695312,154357300,-0.233487405389914
2023-02-06,AAPL,149.61988830566406,69858300,-0.19937415717226942
2023-02-07,AAPL,152.499267578125,83322600,0.14162819673623694
2023-02-08,AAPL,149.80722045898438,64120100,0.20033794100765467
2023-02-09,AAPL,148.77182006835938,56007100,0.24147906208672987
2023-02-10,AAPL,149.1372528076172,57450700,0.3822656550123736
2023-02-13,AAPL,151.9420623779297,62199000,-0.5008471625769744
2023-02-14,AAPL,151.30007934570312,61707600,-0.3503549411242754
2023-02-15,AAPL,153.40367126464844,65573800,0.07076089953957283
2023-02-16,AAPL,151.8037872314453,68167900,0.19324869101384934
2023-02-17,AAPL,150.65817260742188,59144100,0.3992645178373692
2023-02-21,AAPL,146.63861083984375,58867200,0.011725389083207416
