date,ticker,w_BL_RNN
2025-01-17,AAPL,0.42113962833870305
2025-01-17,AMZN,0.14156762117913382
2025-01-17,GOOGL,0.07016133803638236
2025-01-17,JNJ,0.1572763643042226
2025-01-17,JPM,0.09029795345561821
2025-01-17,META,0.0
2025-01-17,MSFT,0.0
2025-01-17,NVDA,0.11955709468593996
2025-01-17,TSLA,0.0
2025-01-17,V,0.0
2025-01-21,AAPL,0.38881444010669275
2025-01-21,AMZN,0.1052472162422739
2025-01-21,GOOGL,0.17820234989799036
2025-01-21,JNJ,0.2310707532227548
2025-01-21,JPM,0.0
2025-01-21,META,0.0
2025-01-21,MSFT,0.0
2025-01-21,NVDA,0.09075501129304762
2025-01-21,TSLA,0.005910229237240514
2025-01-21,V,0.0
2025-01-22,AAPL,0.2283898536975526
2025-01-22,AMZN,0.10533159066102463
2025-01-22,GOOGL,0.08971686798347467
2025-01-22,JNJ,0.4822508741358257
2025-01-22,JPM,0.0
2025-01-22,META,0.0
2025-01-22,MSFT,0.0
2025-01-22,NVDA,0.09431081352212232
2025-01-22,TSLA,0.0
2025-01-22,V,0.0
2025-01-23,AAPL,0.3095595903150858
2025-01-23,AMZN,0.11851113533926684
2025-01-23,GOOGL,0.08884257680772481
2025-01-23,JNJ,0.3857847249198702
2025-01-23,JPM,0.0
2025-01-23,META,0.0
2025-01-23,MSFT,0.0
2025-01-23,NVDA,0.08377974672436188
2025-01-23,TSLA,0.013522225893690414
2025-01-23,V,0.0
2025-01-24,AAPL,0.1715544740821971
2025-01-24,AMZN,0.12727863539094178
2025-01-24,GOOGL,0.17412299659525607
2025-01-24,JNJ,0.42298610686165933
2025-01-24,JPM,0.0
2025-01-24,META,0.0
2025-01-24,MSFT,0.0
2025-01-24,NVDA,0.08875888276551785
2025-01-24,TSLA,0.015298904304427763
2025-01-24,V,0.0
2025-01-27,AAPL,0.2553994218650578
2025-01-27,AMZN,0.18216442905631278
2025-01-27,GOOGL,0.22228820842971805
2025-01-27,JNJ,0.15378556984484007
2025-01-27,JPM,0.0
2025-01-27,META,0.0
2025-01-27,MSFT,0.0
2025-01-27,NVDA,0.18636237080407117
2025-01-27,TSLA,0.0
2025-01-27,V,0.0
2025-01-28,AAPL,0.09859530340426002
2025-01-28,AMZN,0.1970511448250761
2025-01-28,GOOGL,0.3773528424945287
2025-01-28,JNJ,0.1535201444475583
2025-01-28,JPM,0.0
2025-01-28,META,0.0
2025-01-28,MSFT,0.0
2025-01-28,NVDA,0.1595453966827721
2025-01-28,TSLA,0.013935168145804823
2025-01-28,V,0.0
2025-01-29,AAPL,0.0347648452087659
2025-01-29,AMZN,0.3344112805303719
2025-01-29,GOOGL,0.506881731960314
2025-01-29,JNJ,0.0
2025-01-29,JPM,0.0
2025-01-29,META,0.0
2025-01-29,MSFT,0.0
2025-01-29,NVDA,0.12394214230054812
2025-01-29,TSLA,0.0
2025-01-29,V,0.0
2025-01-30,AAPL,0.3956923227855125
2025-01-30,AMZN,0.27556558630225086
2025-01-30,GOOGL,0.00650121046286078
2025-01-30,JNJ,0.3212625491356508
2025-01-30,JPM,0.0
2025-01-30,META,0.0
2025-01-30,MSFT,0.0
2025-01-30,NVDA,0.0
2025-01-30,TSLA,0.0009783313137251366
2025-01-30,V,0.0
2025-01-31,AAPL,0.18166726820057022
2025-01-31,AMZN,0.1231449210361733
2025-01-31,GOOGL,0.0605749253090342
2025-01-31,JNJ,0.26842790098842445
2025-01-31,JPM,0.0
2025-01-31,META,0.0
2025-01-31,MSFT,0.09074599119319691
2025-01-31,NVDA,0.27543899327260074
2025-01-31,TSLA,0.0
2025-01-31,V,0.0
2025-02-03,AAPL,0.7411092697572526
2025-02-03,AMZN,0.21705221021976326
2025-02-03,GOOGL,0.004570714767369518
2025-02-03,JNJ,0.0
2025-02-03,JPM,0.0
2025-02-03,META,0.0
2025-02-03,MSFT,0.0
2025-02-03,NVDA,0.03726780525561446
2025-02-03,TSLA,0.0
2025-02-03,V,0.0
2025-02-04,AAPL,0.2908872152857477
2025-02-04,AMZN,0.16446752102691709
2025-02-04,GOOGL,0.11378068011088015
2025-02-04,JNJ,0.1596655432067299
2025-02-04,JPM,0.0
2025-02-04,META,0.0
