date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,SPY,TSLA,V
2023-01-03,123.33065032958984,85.81999969482422,88.50953674316406,163.68861389160156,125.49224090576172,123.97571563720703,234.423583984375,14.301480293273926,367.1507873535156,108.0999984741211,203.1567840576172
2023-01-04,124.60271453857422,85.13999938964844,87.4766616821289,165.47071838378906,126.6624526977539,126.58961486816406,224.16912841796875,14.735069274902344,369.9852600097656,113.63999938964844,208.27024841308594
2023-01-05,123.28134155273438,83.12000274658203,85.60955047607422,164.2489471435547,126.63439178466797,126.1622543334961,217.52525329589844,14.251527786254883,365.7624816894531,110.33999633789062,206.80088806152344
2023-01-06,127.81736755371094,86.08000183105469,86.74173736572266,165.5809783935547,129.05758666992188,129.22337341308594,220.08888244628906,14.844966888427734,374.1501770019531,113.05999755859375,213.30532836914062
2023-01-09,128.33999633789062,87.36000061035156,87.41706848144531,161.29103088378906,128.52427673339844,128.6767578125,222.2317352294922,15.613240242004395,373.9381103515625,119.7699966430664,214.1379852294922
2023-01-10,128.91192626953125,89.87000274658203,87.81434631347656,160.90521240234375,129.67510986328125,132.17518615722656,223.92453002929688,15.893975257873535,376.5604553222656,118.8499984741211,216.5771484375
2023-01-11,131.63356018066406,95.08999633789062,90.89309692382812,160.6479949951172,130.63876342773438,132.07579040527344,230.69558715820312,15.985888481140137,381.3231201171875,123.22000122070312,217.56651306152344
2023-01-12,131.55465698242188,95.2699966430664,90.50576782226562,159.839599609375,130.50778198242188,135.8723907470703,233.3765869140625,16.495403289794922,382.71142578125,123.55999755859375,219.05551147460938
2023-01-13,132.88587951660156,98.12000274658203,91.4889907836914,159.3159942626953,133.80111694335938,136.14073181152344,234.0811004638672,16.883041381835938,384.19610595703125,122.4000015258789,218.5069580078125
2023-01-17,134.04946899414062,96.05000305175781,90.6646728515625,158.3330841064453,131.7334442138672,134.53065490722656,235.177001953125,17.68528175354004,383.4923095703125,131.49000549316406,218.4481658935547
2023-01-18,133.32965087890625,95.45999908447266,90.49584197998047,155.94467163085938,127.77582550048828,132.2050018310547,230.73472595214844,17.3605899810791,377.437744140625,128.77999877929688,214.9804229736328
2023-01-19,133.38880920410156,93.68000030517578,92.4126205444336,155.7333984375,126.0730209350586,135.31582641601562,226.93821716308594,16.749168395996094,374.6900939941406,127.16999816894531,215.91104125976562
2023-01-20,135.95262145996094,97.25,97.34857177734375,155.00767517089844,126.38175201416016,138.51608276367188,235.04983520507812,17.822153091430664,381.67022705078125,133.4199981689453,219.7313995361328
2023-01-23,139.1475830078125,97.5199966430664,99.10645294189453,154.61268615722656,128.4307403564453,142.3922119140625,237.35899353027344,19.174875259399414,386.2497253417969,143.75,219.60406494140625
2023-01-24,140.54782104492188,96.31999969482422,97.03076171875,154.61268615722656,129.53477478027344,142.2629852294922,236.83059692382812,19.24680519104004,385.835205078125,143.88999938964844,219.31997680664062
2023-01-25,139.88714599609375,97.18000030517578,94.56776428222656,155.7150115966797,130.16160583496094,140.63304138183594,235.431396484375,19.30474853515625,385.9797668457031,144.42999267578125,220.30935668945312
2023-01-26,141.95794677734375,99.22000122070312,96.85200500488281,155.1454620361328,130.96621704101562,146.3975067138672,242.66236877441406,19.783296585083008,390.2217712402344,160.27000427246094,220.12327575683594
2023-01-27,143.90052795410156,102.23999786376953,98.6893310546875,154.53915405273438,131.2843475341797,150.810302734375,242.8188934326172,20.34576416015625,391.1184387207031,177.89999389648438,226.7159423828125
2023-01-30,141.0112762451172,100.55000305175781,96.2759780883789,148.8162078857422,130.1709747314453,146.15896606445312,237.48619079589844,19.143898010253906,386.2111511230469,166.66000366210938,224.42367553710938
2023-01-31,142.28335571289062,103.12999725341797,98.16295623779297,150.12062072753906,130.94752502441406,148.05728149414062,242.47645568847656,19.5185489654541,391.8897399902344,173.22000122070312,225.51101684570312
2023-02-01,143.40748596191406,105.1500015258789,99.74207305908203,151.49855041503906,130.60133361816406,152.1818389892578,247.31011962890625,20.923221588134766,396.0546875,181.41000366210938,226.18692016601562
2023-02-02,148.7225341796875,112.91000366210938,107.00199890136719,152.06809997558594,129.99322509765625,187.61343383789062,258.9051208496094,21.688495635986328,401.8199768066406,188.27000427246094,224.874267578125
2023-02-03,152.35134887695312,103.38999938964844,104.06227111816406,151.21377563476562,132.0047607421875,185.38714599609375,252.78958129882812,21.0800724029541,397.5490417480469,189.97999572753906,225.43267822265625
2023-02-06,149.61988830566406,102.18000030517578,102.19515228271484,150.06553649902344,132.78131103515625,184.9199981689453,251.2436065673828,21.06908416748047,395.11944580078125,194.75999450683594,224.75672912597656
2023-02-07,152.499267578125,102.11000061035156,106.90267181396484,150.10223388671875,134.39990234375,190.4459686279297,261.8013610839844,22.152057647705078,400.2870788574219,196.80999755859375,226.59835815429688
2023-02-08,149.80722045898438,100.05000305175781,98.6893310546875,150.29518127441406,133.45494079589844,182.30612182617188,260.9892272949219,22.18402671813965,395.9100341796875,201.2899932861328,225.50119018554688
2023-02-09,148.77182006835938,98.23999786376953,94.35919189453125,148.2650146484375,131.3778839111328,176.8298797607422,257.9461669921875,22.315902709960938,392.4778137207031,207.32000732421875,225.10862731933594
2023-02-10,149.1372528076172,97.61000061035156,93.92221069335938,148.9539794921875,131.95799255371094,173.08297729492188,257.4374084472656,21.244915008544922,393.3937072753906,196.88999938964844,222.99835205078125
2023-02-13,151.9420623779297,99.54000091552734,93.9619369506836,149.50515747070312,133.3894500732422,178.3306427001953,265.4804992675781,21.767419815063477,398.01177978515625,194.63999938964844,224.64727783203125
2023-02-14,151.30007934570312,99.69999694824219,94.03145599365234,148.8529510498047,133.97891235351562,178.38034057617188,266.3121643066406,22.94930648803711,397.82861328125,209.25,225.14785766601562
