date,ticker,sentiment_mean,n_articles,sentiment_label
2023-01-02,AAPL,-0.47267119990465284,2,negative
2023-01-03,AAPL,-0.3362275211358489,3,neutral
2023-01-04,AAPL,-0.45143858631715,11,negative
2023-01-05,AAPL,0.14058749413311591,7,neutral
2023-01-06,AAPL,-0.16346602537438457,5,negative
2023-01-07,AAPL,0.055675118835400376,3,neutral
2023-01-08,AAPL,-0.0166215529717798,3,neutral
2023-01-09,AAPL,0.25081955460263666,8,neutral
2023-01-10,AAPL,0.5484634718437862,8,positive
2023-01-11,AAPL,0.037454839111433096,15,neutral
2023-01-12,AAPL,0.1383464620622615,12,neutral
2023-01-13,AAPL,0.011916167949221663,7,neutral
2023-01-15,AAPL,-0.32583071492535964,2,negative
2023-01-16,AAPL,-5.953370191491558e-06,1,neutral
2023-01-17,AAPL,0.12379239177461798,8,neutral
2023-01-18,AAPL,0.058722116898655724,13,neutral
2023-01-19,AAPL,0.26107358711443496,8,neutral
2023-01-20,AAPL,0.07157286083217128,7,neutral
2023-01-22,AAPL,-0.0001227148552516,1,neutral
2023-01-23,AAPL,0.35211077728363166,12,positive
2023-01-24,AAPL,0.3749870080604547,8,neutral
2023-01-25,AAPL,0.25007332392081105,4,positive
2023-01-26,AAPL,0.36004172077791813,11,neutral
2023-01-27,AAPL,0.31803535654540027,7,positive
2023-01-28,AAPL,0.9888422774236432,1,positive
2023-01-29,AAPL,-0.47949564187936744,6,negative
2023-01-30,AAPL,-0.1835027606272433,10,neutral
2023-01-31,AAPL,-0.007164568876033981,9,negative
2023-02-01,AAPL,0.15602425026685296,8,neutral
2023-02-02,AAPL,-0.13447472076590625,14,negative
2023-02-03,AAPL,-0.233487405389914,24,negative
2023-02-04,AAPL,0.5008751974534817,2,neutral
2023-02-05,AAPL,-0.3258135893337624,3,negative
2023-02-06,AAPL,-0.19937415717226942,5,neutral
2023-02-07,AAPL,0.14162819673623694,8,positive
2023-02-08,AAPL,0.20033794100765467,10,neutral
2023-02-09,AAPL,0.24147906208672987,6,neutral
2023-02-10,AAPL,0.3822656550123736,7,neutral
2023-02-11,AAPL,-0.0002836147541529,1,neutral
2023-02-12,AAPL,0.2499614747511583,4,neutral
2023-02-13,AAPL,-0.5008471625769744,2,negative
2023-02-14,AAPL,-0.3503549411242754,6,negative
2023-02-15,AAPL,0.07076089953957283,12,neutral
2023-02-16,AAPL,0.19324869101384934,9,positive
2023-02-17,AAPL,0.3992645178373692,5,neutral
2023-02-18,AAPL,-8.971023362391861e-05,1,neutral
2023-02-19,AAPL,0.45297578747249645,2,neutral
2023-02-20,AAPL,0.9958055240022076,1,positive
2023-02-21,AAPL,0.011725389083207416,5,neutral
2023-02-22,AAPL,0.3162750502559817,10,neutral
2023-02-23,AAPL,0.6153931911336912,5,positive
2023-02-24,AAPL,0.15874979053561816,11,neutral
2023-02-25,AAPL,0.42621099359287956,3,neutral
2023-02-26,AAPL,0.9999707962706452,1,positive
2023-02-27,AAPL,0.15556864307951912,8,neutral
2023-02-28,AAPL,0.6946868681390775,10,positive
2023-03-01,AAPL,0.09975250542446831,10,neutral
2023-03-02,AAPL,0.20148817872795913,5,neutral
2023-03-03,AAPL,0.2838944621793518,7,neutral
2023-03-04,AAPL,-0.023178270001807246,4,neutral
2023-03-05,AAPL,-5.454076983822197e-05,2,neutral
2023-03-06,AAPL,0.41960823341883363,10,positive
2023-03-07,AAPL,0.16050361548783107,9,neutral
2023-03-08,AAPL,0.9998628926720737,3,positive
2023-03-09,AAPL,0.12511003246760308,8,neutral
2023-03-10,AAPL,-0.9998649701301474,1,negative
